Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Alien Clay,Adrian Tchaikovsky,"",9781035013777,digital,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Fuzzy Nation,John Scalzi,"",9780765328540,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,"",9780743203043,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Dawnshard ,Brandon Sanderson,"",9781705076439,audio,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Backstage Handbook: An Illustrated Almanac of Technical Information,Paul Carter,George Chiang (Illustrator),9780911747393,paperback,read,2012/10/18,"","",1,"",,,,,,,,,"",,theatre,No
Jefferson Bible: The Life and Morals of Jesus of Nazareth,Thomas Jefferson,"",9781557091840,hardcover,to-read,2013/01/09,"","",0,"",,,,,,,,,"",,religion-and-philosophy,No
Franchise: The Golden Arches in Black America,Marcia Chatelain,"",9781631493942,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Ishmael,Daniel Quinn,"",9780553375404,paperback,read,2012/04/21,"","",1,"",,,,,,,5.0,,"",,"fiction, religion-and-philosophy",No
Ender's Game,Christopher Yost,Pasqual Ferry,9780785185338,paperback,read,2014/03/10,2014/03/11,2014/03/11,1,"",,,,,,,3.0,,"",,"",No
50 Physics Ideas You Really Need to Know,Joanne Baker,"",9781847240071,hardcover,to-read,2012/05/03,"","",0,"",,,,,,,,,"",,science-and-math,No
A Storm of Swords,George R.R. Martin,"",9780399180316,digital,read,2012/09/11,2012/09/21,2012/09/21,1,"",,,,,,,5.0,,"",,"fiction, fantasy",No
The Invisible Gorilla: And Other Ways Our Intuitions Deceive Us,"Christopher Chabris, Daniel J. Simons","",9780307459657,hardcover,to-read,2013/05/06,"","",0,"",,,,,,,,,"",,"",No
"The Lexicographer's Dilemma: The Evolution of ""Proper"" English, from Shakespeare to South Park",Jack Lynch,"",9780802717009,hardcover,to-read,2012/10/25,"","",0,"",,,,,,,,,"",,"language-and-semiotics, history, non-fiction",No
Better: A Surgeon's Notes on Performance,Atul Gawande,"",9780312427658,paperback,to-read,2014/10/29,"","",0,"",,,,,,,,,"",,religion-and-philosophy,No
Hebrew Word Pictures,Frank T. Seekins,"",,,to-read,2012/09/11,"","",0,"",,,,,,,,,"",,language-and-semiotics,No
Gideon the Ninth,Tamsyn Muir,"",9781250313195,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
The Universe in a Single Atom,Dalai Lama XIV,"",9780767920810,paperback,to-read,2012/07/28,"","",0,"",,,,,,,,,"",,"religion-and-philosophy, science-and-math",No
"Thinking Shakespeare: A How-To Guide for Student Actors, Directors, and Anyone Else Who Wants to Feel More Comfortable with the Bard",Barry Edelstein,"",9781411498723,paperback,to-read,2012/08/05,"","",0,"",,,,,,,,,"",,theatre,No
"A Pattern Language: Towns, Buildings, Construction","Ingrid Fiksdahl-King, Christopher W. Alexander, Max Jacobson, Shlomo Angel, Murray Silverstein, Sara Ishikawa","",9780195019193,hardcover,to-read,2013/06/21,"","",0,"",,,,,,,,,"",,"engineering, non-fiction, religion-and-philosophy, science-and-math",No
100 Diagrams That Changed the World: From the Earliest Cave Paintings to the Innovation of the iPod,Scott Christianson,"",9780452298774,hardcover,to-read,2012/12/13,"","",0,"",,,,,,,,,"",,"language-and-semiotics, non-fiction",No
Light Fantastic: The Art and Design of Stage Lighting,"Max Keller, Johannes Weiss","",,,read,2012/04/21,"","",1,"",,,,,,,4.0,,"",,"theatre, light",No
Sense of Direction: Some Observations on the Art of Directing,William Ball,"",9780896760820,paperback,to-read,2013/01/10,"","",0,"",,,,,,,,,"",,theatre,No
Sixteen Ways to Defend a Walled City,K.J. Parker,"",9780316270793,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Romeo and Juliet,William Shakespeare,"",9780743477116,paperback,read,2012/05/10,"","",1,"",,,,,,,,,"",,plays-ive-read,No
Elantris,Brandon Sanderson,"",9780765350374,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
The Study of Counterpoint,Johann Joseph Fux,Alfred Mann,9780393002775,paperback,read,2012/07/23,"","",1,"",,,,,,,4.0,,"",,music-and-sound,No
The Heritage of Shannara,Terry Brooks,"",9780345465542,hardcover,read,2012/07/29,"","",1,"",,,,,,,5.0,,"",,"fiction, fantasy",No
Life of Pi,Yann Martel,"",9780156030205,paperback,read,2012/07/23,2012/11/08,2012/11/08,1,"",,,,,,,5.0,,"",,"fiction, religion-and-philosophy",No
The I Ching or Book of Changes,"",Cary F. Baynes (Translator),9780691097503,hardcover,read,2012/04/28,"","",1,"",,,,,,,3.0,,"",,"language-and-semiotics, religion-and-philosophy",No
The Giver,Lois Lowry,"",9780385732550,paperback,read,2026/02/16,"","",1,"",,,,,,,4.0,,"",,fiction,No
Harry Potter and the Deathly Hallows,J.K. Rowling,"",9781408855959,hardcover,read,2012/04/21,"","",1,"",,,,,,,4.0,,"",,fiction,No
The Tao of Meditation: Way to Enlightenment,Tsung Hwa Jou,"",,,to-read,2012/05/03,"","",0,"",,,,,,,,,"",,religion-and-philosophy,No
"Loud Hands: Autistic People, Speaking",Julia Bascom,"",1938800028,digital,to-read,2014/03/15,"","",0,"",,,,,,,,,"",,"biography, non-fiction",No
Macbeth,William Shakespeare,"",9780743477109,paperback,read,2012/05/10,"","",1,"",,,,,,,,,"",,plays-ive-read,No
"Music, the Brain and Ecstasy: How Music Captures Our Imagination",Robert Jourdain,"",9780380782093,paperback,read,2012/04/21,2012/08/30,2012/08/30,1,"",,,,,,,4.0,,"",,"music-and-sound, language-and-semiotics, non-fiction, science-and-math",No
Murder in the Cathedral,T.S. Eliot,"",9780156632775,paperback,read,2012/04/28,"","",1,"",,,,,,,,,"",,"plays-ive-read, religion-and-philosophy",No
Cooked: A Natural History of Transformation,Michael Pollan,"",9781594204210,hardcover,read,2015/06/30,"","",1,"",,,,,,,,,"",,"cooking, non-fiction",No
Equus,Peter Shaffer,"",9780140260700,paperback,read,2012/04/21,"","",1,"",,,,,,,,,"",,plays-ive-read,No
Warbreaker,Brandon Sanderson,"",0575097469,paperback,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Meaning of It All: Thoughts of a Citizen-Scientist,Richard P. Feynman,"",9780465023943,paperback,read,2014/01/25,2014/02/05,2014/02/05,1,"",,,,,,,,,"",,"engineering, non-fiction, religion-and-philosophy, science-and-math",No
Acting in Film: An Actor's Take on Movie Making,Michael Caine,"","",audio,read,2012/07/29,"","",1,"",,,,,,,4.0,,"",,"theatre, non-fiction",No
The Golden Compass,Philip Pullman,"",9780679879244,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Bicentennial Man and Other Stories,Isaac Asimov,"",9781857989328,paperback,to-read,2012/08/13,"","",0,"",,,,,,,,,"",,"",No
Getting Started with Arduino,Massimo Banzi,"",9780596155513,paperback,read,2014/04/12,"","",1,"",,,,,,,5.0,,"",,"engineering, non-fiction",No
The Tao of Tai-Chi Chuan: Way to Rejuvenation,Jou Tsung Hwa,"",9780804813570,hardcover,read,2012/05/03,"","",1,"",,,,,,,4.0,,"",,religion-and-philosophy,No
The Te of Piglet,Benjamin Hoff,Ernest H. Shepard (Illustrator),9781405204279,paperback,read,2012/05/29,"","",1,"",,,,,,,3.0,,"",,religion-and-philosophy,No
Trainspotting,Irvine Welsh,Eric Lindor Fall (Translator),9782020336468,paperback,to-read,2012/09/02,"","",0,"",,,,,,,,,"",,theatre,No
Skyward,Brandon Sanderson,"",9781473217850,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
A Psalm for the Wild-Built,Becky Chambers,"",9781250236210,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Ministry of Time,Kaliane Bradley,"",9781399726344,hardcover,did-not-finish,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Frankenstein,Mary Shelley,"",9780743487580,paperback,read,2012/05/10,"","",1,"",,,,,,,2.0,,"",,fiction,No
Hell is the Absence of God,"James Trimarco, Ted Chiang","",,audio,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
March: Book One,"John Lewis, Andrew Aydin",Nate Powell (Illustrator),9781603093002,paperback,to-read,2013/08/14,"","",0,"",,,,,,,,,"",,"biography, history, non-fiction",No
The Da Vinci Code,Dan Brown,"",9780307474278,paperback,read,2012/07/25,"","",1,"",,,,,,,5.0,,"",,fiction,No
Wind and Truth,Brandon Sanderson,"",9781250319180,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,"",9780307291813,hardcover,read,2013/05/24,2014/02/05,2014/02/05,1,"",,,,,,,,,"",,"fantasy, religion-and-philosophy",No
Becket,Jean Anouilh,"",9781573225083,paperback,to-read,2012/07/23,"","",0,"",,,,,,,,,"",,"",No
"The Empty Space: A Book About the Theatre: Deadly, Holy, Rough, Immediate",Peter Brook,"",9780684829579,paperback,read,2012/04/21,"","",1,"",,,,,,,3.0,,"",,"theatre, language-and-semiotics",No
Yumi and the Nightmare Painter,Brandon Sanderson,Aliya Chen (Illustrator),9781938570377,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Scratch,Archibald MacLeish,"",9780395123461,hardcover,to-read,2012/10/05,"","",0,"",,,,,,,,,"",,plays-to-read,No
A Midsummer Night's Dream,William Shakespeare,"",9780743477543,paperback,read,2012/05/10,"","",1,"",,,,,,,,,"",,plays-ive-read,No
The Theory of Comedy,Elder Olson,"","",hardcover,read,2012/04/21,"","",1,"",,,,,,,3.0,,"",,theatre,No
Rakesfall,Vajra Chandrasekera,"",9781250847683,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Isles of the Emberdark,Brandon Sanderson,Esther Hi‘ilani Candari (Illustrator),9781938570506,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Pillars of the Earth,Ken Follett,"",9780451166890,paperback,to-read,2012/10/03,"","",0,"",,,,,,,,,"",,fiction,No
Siddhartha,Hermann Hesse,A.M.H. Binkhuysen (Translator),9789023411048,paperback,read,2012/04/21,"","",1,"",,,,,,,5.0,,"",,"fiction, religion-and-philosophy",No
Music is My Mistress,Duke Ellington,"",9780306800337,paperback,to-read,2012/07/23,"","",0,"",,,,,,,,,"",,music-and-sound,No
The Republic of Memory ,Mahmud El Sayed,"",9781668207192,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Kiss Kiss,Roald Dahl,"",9780140018325,paperback,to-read,2013/01/10,"","",0,"",,,,,,,,,"",,fiction,No
Pretending to Be Normal: Living with Asperger's Syndrome,Liane Holliday Willey,"",9781853027499,paperback,to-read,2013/05/06,"","",0,"",,,,,,,,,"",,"",No
Bringing Out the Best in People: How to Enjoy Helping Others Excel,Alan Loy McGinnis,"",9780806621517,paperback,read,2012/05/15,2012/05/23,2012/05/23,1,"",,,,,,,4.0,,"",,non-fiction,No
Backwards & Forwards: A Technical Manual for Reading Plays,David Ball,"",9780809311101,paperback,to-read,2012/07/18,"","",0,"",,,,,,,,,"",,theatre,No
Dreamsnake,Vonda N. McIntyre,"",9780857054265,paperback,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
A Dance with Dragons,George R.R. Martin,"","",digital,read,2012/10/03,2013/01/04,2013/01/04,1,"",,,,,,,4.0,,"",,"fiction, fantasy",No
